Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:14,-177926.8059837742,0.9681398464201066,192.1916642713381,2568.8315561717372,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:15,-178302.79284300012,0.9247108560625388,192.07319546261252,2573.4447291858223,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:16,-178676.54114759882,0.8812730855964394,191.95515995594917,2578.0676112398087,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:17,-179048.06191679143,0.8378271203995903,191.8375561686672,2582.700144497809,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:18,-179417.36615474155,0.7943735378188271,191.72038251634305,2587.3422714111416,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:19,-179784.4648490205,0.7509129073174255,191.60363741316587,2591.9939347102113,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:20,-180149.36897067446,0.707445790442755,191.48731927178463,2596.655077415421,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:21,-180512.08947270564,0.6639727409617658,191.37142650367312,2601.325642830217,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:22,-180872.63728915807,0.620494304945081,191.25595751929887,2606.005574539542,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:23,-181231.02333446452,0.5770110208130794,191.1409107282167,2610.6948164122864,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:24,-181587.2585024249,0.5335234194381157,191.026284539279,2615.393312597745,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:25,-181941.35366596567,0.4900320241450098,190.9120773606022,2620.1010075329345,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:26,-182293.31967543619,0.4465373508921942,190.7982876000091,2624.8178459303854,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:27,-182643.16735832195,0.4030399082811461,190.6849136650185,2629.543772784411,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:28,-182990.90751870317,0.3595401976231465,190.57195396290737,2634.2787333711776,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:29,-183336.5509362559,0.31603871301708647,190.4594069009479,2639.0226732475335,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:30,-183680.10836520424,0.27253594147741633,190.34727088664565,2643.7755382442315,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:31,-184021.59053415974,0.22903236293364096,190.23554432770064,2648.53727447321,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:32,-184361.0081454076,0.1855284503121257,190.1242256321456,2653.3078283258396,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:33,-184698.3718737603,0.14202466965953864,190.01331320863792,2658.0871464664397,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:34,-185033.6923665861,0.09852148013435438,189.9028054663619,2662.8751758403537,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:35,-185366.98024232828,0.05501933418496302,189.7927008154347,2667.671863661375,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:04:36,-185698.24609076147,0.011518677502192652,189.68299766674434,2672.477157423971,286.7598810322222
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:00,111393.27603657295,1.2843660098238625,250.19638375983288,2394.843468137657,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:01,110766.1420814527,1.3115426658185163,250.0389800049383,2391.9664998174035,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:02,110136.63623715921,1.3385985113551453,249.88118887086583,2389.1058050025977,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:03,109504.76091833257,1.3655324985857766,249.72301110022423,2386.261445092491,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:04,108870.51871697826,1.3923435769096217,249.56444746168694,2383.433481423741,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:05,108233.91240362995,1.419030693102414,249.40549875004513,2380.621975262283,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:06,107594.94492964799,1.4455927913703828,249.2461657865724,2377.8269878030596,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:07,106953.61942745389,1.472028813518746,249.08644941885137,2375.048580158135,281.4539389630555
